A0,propensityY1,propensityY2,propensityY3,propensityY4,propensityY5,propensityY6,propensityY7,propensityY8,propensityY9,propensityY10,propensityY11,propensityY12,propensityY13
83,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
84,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
85,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
86,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
87,0.018280167,0.02143554,0.025121631,0.029422529,0.034433746,,,,,,,,
88,0.128949983,0.039242499,0.170036442,0.910588839,0.737527884,,,,,,,,
89,0.010400353,0.012212497,0.014335812,0.016822009,0.019730746,,,,,,,,
90,0.594680216,0.633160694,0.170036442,0.910588839,0.922962682,,,,,,,,
91,0.008755694,0.010284253,0.012076415,0.014176411,0.01663543,,,,,,,,
92,0.066412637,0.077222713,0.022568321,0.026443942,0.574512592,,,,,,,,
93,0.078982846,0.091638156,0.027080644,0.031706023,0.037091299,,,,,,,,
94,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
95,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
96,0.030400343,0.035571997,0.041585709,0.048564888,0.056646131,,,,,,,,
98,0.128949983,0.039242499,0.045847239,0.053501691,0.062350588,,,,,,,,
99,0.066412637,0.077222713,0.022568321,0.026443942,0.030964034,,,,,,,,
100,0.031176102,0.036474761,0.042634346,0.049780374,0.058051533,,,,,,,,
101,0.009562049,0.011229785,0.013184523,0.062805587,0.073074493,,,,,,,,
102,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
104,0.015035396,0.017640748,0.020688075,0.024248816,0.028404639,,,,,,,,
105,0.016410504,0.01924948,0.022568321,0.026443942,0.030964034,,,,,,,,
106,0.009562049,0.011229785,0.013184523,0.015474192,0.018154177,,,,,,,,
107,0.031176102,0.036474761,0.042634346,0.049780374,0.058051533,,,,,,,,
108,0.03629459,0.042425088,0.049537857,0.014176411,0.01663543,,,,,,,,
110,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
111,0.027995577,0.032771963,0.038331122,0.044789623,0.052277175,,,,,,,,
113,0.750375298,0.779553756,0.806202425,0.830330807,0.574512592,,,,,,,,
