
Categorical variable freqs (actual CHDS):

"z1single"
"","Actual (%)"
"gpresp6",2.03884462151394
"gpresp7",1.49798387096774
"gpresp8",1.22131147540984
"gpresp9",1.00622406639004
"gpresp10",0.880877742946709 
 "gptotvis"
"","Mean"
"gptotvis1",5.8180924287119
"gptotvis2",5.33663366336634
"gptotvis3",3.31397637795276
"gptotvis4",3.12906403940887
"gptotvis5",3.21850393700787
"gptotvis6",3.34561752988048
"gptotvis7",2.42540322580645
"gptotvis8",2.13831967213115
"gptotvis9",1.96058091286307
"gptotvis10",1.64890282131661 
 "hadmtot"
"","Mean"
"hadmtot1",0.232055063913471
"hadmtot2",0.112315270935961
"hadmtot3",0.110127826941986
"hadmtot4",0.078740157480315
"hadmtot5",0.1064039408867
"hadmtot6",0.0775347912524851
"hadmtot7",0.0846774193548387
"hadmtot8",0.0860655737704918
"hadmtot9",0.0529045643153527
"hadmtot10",0.0407098121085595 
 "houtptot"
"","Mean"
"houtptot1",0.469026548672566
"houtptot2",0.545812807881773
"houtptot3",0.507374631268437
"houtptot4",0.506403940886699
"houtptot5",0.548323471400395
"houtptot6",0.572139303482587
"houtptot7",0.465725806451613
"houtptot8",0.45594262295082
"houtptot9",0.314315352697095
"houtptot10",0.366388308977036 
 "BURT"
"","Mean"
"BURT8",45.0635910224439
"BURT9",53.7880434782609
"BURT10",63.9244791666667
"BURT11",72.3217623497997
"BURT12",79.1511789181692
"BURT13",85.1018387553041 
 "cond"
"","Mean"
"cond6",10.5606965174129
"cond7",24.6391129032258
"cond8",24.4395491803279
"cond9",24.670643153527
"cond10",24.937369519833 

Continuous variable quantiles (actual CHDS):

"kids"
"","0%","10%","25%","50%","75%","90%","100%"
"kids1",1,1,1,2,2,3,10
"kids2",1,1,1,2,3,3,10
"kids3",1,1,2,2,3,3,10
"kids4",1,1,2,2,3,4,10
"kids5",1,2,2,2,3,4,9
"kids6",1,2,2,2,3,4,8
"kids7",1,2,2,2,3,4,9
"kids8",1,2,2,2,3,4,10
"kids9",1,2,2,2,3,4,8
"kids10",1,2,2,2,3,4,9
"kids11",1,2,2,2,3,4,9
"kids12",1,2,2,2,3,4,8
"kids13",1,2,2,2,3,4,8 
 "householdsize"
"","0%","10%","25%","50%","75%","90%","100%"
"householdsize1",2,3,3,4,5,5,14
"householdsize2",2,3,3,4,5,5,13
"householdsize3",2,3,4,4,5,6,12
"householdsize4",2,3,4,4,5,6,9
"householdsize5",2,3,4,4,5,6,9
