"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.10104981974151
"r1stchildethn",2,0.252831174604364
"r1stchildethn",3,0.969285209391547
"r1stchildethn",4,-0.32665957107465
"z1breast",1,-0.160525195554508
"r1ParentEduc",2,6.66133814775094e-16
"r1ParentEduc",3,0.501500756508393
"SESBTH",2,-4.44089209850063e-16
"SESBTH",3,0.257992354228789
"z1pregsmk",1,0.165051296044967
"z1HighBw",1,0.382610377139595
"z1LowBw",1,0.211566184262516
"z1Caesarean",1,0.164400426319223
"r1Sleep",2,-0.0449020890099595
"r1Sleep",3,-0.422920942501178
