Variable,ClassVal0,Estimate
Intercept,,6.536658
IQ_previous,,0.629951
IQ_previous1,,-0.030768
IQ_previous2,,0.331485
IQ_previous3,,-0.200195
IQ_previous4,,0.204161
_sd,,6.954
