Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,4.1218,0.688,35.8958,<.0001
age,,1,-0.0977,0.0474,4.2403,0.0395
z1gender,1,1,0.8362,0.2452,11.632,0.0006
SESBTH,2,1,-1.5387,0.4219,13.2974,0.0003
SESBTH,3,1,-1.9415,0.4466,18.8953,<.0001
z1single0,1,1,1.2618,0.4639,7.3995,0.0065
NPRESCH,,1,0.3771,0.1157,10.6177,0.0011
