"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.49319374313342
"r1stchildethn",2,0.25034161588607
"r1stchildethn",3,0.950551999445074
"r1stchildethn",4,-0.321801556592228
"z1breast",1,-0.158267323820615
"r1ParentEduc",2,0
"r1ParentEduc",3,0.48840063415797
"SESBTH",2,-1.11022302462516e-16
"SESBTH",3,0.256636995659136
"z1pregsmk",1,0.165294919783273
"z1HighBw",1,0.379605971180017
"z1LowBw",1,0.200309024685577
"z1Caesarean",1,0.163403625733659
"r1Sleep",2,-0.0562224168864045
"r1Sleep",3,-0.416995881937975
"z1WatchTV",1,0.612236997825944
