"Variable","ClassVal0","Estimate"
"Intercept",NA,-0.993599680399577
"r1stchildethn",2,0.258984531169319
"r1stchildethn",3,0.9969833820006
"r1stchildethn",4,-0.333911232944743
"z1breast",1,-0.164417068273815
"r1ParentEduc",2,-1.11022302462516e-15
"r1ParentEduc",3,0.515877626568641
"SESBTH",2,0
"SESBTH",3,0.264227611138655
"z1pregsmk",1,0.169022565954697
"z1HighBw",1,0.391876290119872
"z1LowBw",1,0.217691997151969
"z1Caesarean",1,0.168383165003236
"r1Sleep",2,-0.048602743396316
"r1Sleep",3,-0.431928168820115
