Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-1.7074,0.5358,10.1556,0.0014
r1stchildethn,2,1,0.7724,0.5986,1.6649,0.1969
r1stchildethn,3,1,1.5496,0.8275,3.5065,0.0611
MAGE,,1,-0.0234,0.0117,3.9608,0.0466
fage,,1,-0.4817,0.1561,9.5264,0.002
fage*fage,,1,0.045,0.0208,4.6828,0.0305
r1stfeduc,2,1,-0.0512,0.1877,0.0745,0.7849
r1stfeduc,3,1,0.0989,0.1776,0.31,0.5777
SESBTH,2,1,0.2964,0.1386,4.5745,0.0325
SESBTH,3,1,0.4611,0.1497,9.4827,0.0021
z1single0,1,1,0.7445,0.1816,16.7997,<.0001
pregsmk,,1,0.000736,0.00646,0.013,0.9093
INTERACT,,1,-0.2388,0.1025,5.4264,0.0198
INTERACT*INTERACT,,1,0.0187,0.00696,7.2371,0.0071
PUNISH,,1,0.1687,0.1049,2.5865,0.1078
PUNISH*PUNISH,,1,0.0653,0.0269,5.8784,0.0153
fage*r1stchildethn,2,1,0.1827,0.0684,7.1289,0.0076
fage*r1stchildethn,3,1,-0.0517,0.1276,0.1644,0.6851
eth_r1stfeduc,5,1,0.0597,0.465,0.0165,0.8979
eth_r1stfeduc,6,1,0.8562,0.4342,3.8889,0.0486
eth_r1stfeduc,8,1,0.2965,0.5405,0.3009,0.5833
eth_r1stfeduc,9,1,0.00507,0.4969,0.0001,0.9919
z1single0_eth,2,1,-0.649,0.2503,6.7236,0.0095
z1single0_eth,3,1,-0.317,0.5378,0.3474,0.5556
pregsmk*r1stchildethn,2,1,-0.0216,0.0103,4.4052,0.0358
pregsmk*r1stchildethn,3,1,0.0282,0.0279,1.0214,0.3122
INTERACT*r1stchildethn,2,1,-0.1308,0.0437,8.9854,0.0027
INTERACT*r1stchildethn,3,1,-0.017,0.0655,0.0674,0.7952
PUNISH*r1stchildethn,2,1,-0.0845,0.0821,1.0584,0.3036
PUNISH*r1stchildethn,3,1,-0.4478,0.1713,6.8338,0.0089
