"Variable","ClassVal0","Estimate"
"Intercept",NA,-0.782126093637604
"r1stchildethn",2,0.284227308436483
"r1stchildethn",3,1.07598905870973
"r1stchildethn",4,-0.355455643876849
"z1breast",1,-0.177413232072023
"r1ParentEduc",2,4.44089209850063e-16
"r1ParentEduc",3,0.542365595537899
"SESBTH",2,-4.44089209850063e-16
"SESBTH",3,0.295006815299534
"z1pregsmk",1,0.193438710477537
"z1HighBw",1,0.432901690063449
"z1LowBw",1,0.203348307184922
"z1Caesarean",1,0.250406320118708
"r1Sleep",2,-0.095882528010158
"r1Sleep",3,-0.460565694412403
