Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,2.2936,2.4134,0.9032,0.3419
age,,1,-3.7733,0.8679,18.9,<.0001
age*age,,1,0.5096,0.1108,21.1435,<.0001
z1gender,1,1,-0.6077,0.1678,13.1157,0.0003
r1stchildethn,2,1,-0.8847,1.0006,0.7818,0.3766
r1stchildethn,3,1,9.5365,634.5,0.0002,0.988
MAGE,,1,0.6774,0.1192,32.2714,<.0001
MAGE*MAGE,,1,-0.0106,0.00217,23.9946,<.0001
r1stfeduc,2,1,-0.409,1.4474,0.0798,0.7775
r1stfeduc,3,1,-1.7614,1.2978,1.842,0.1747
SESBTH,2,1,0.6541,1.5232,0.1844,0.6676
SESBTH,3,1,3.1454,1.7022,3.4144,0.0646
z1single0,1,1,1.9901,1.9617,1.0292,0.3103
pregsmk,,1,0.0994,0.0628,2.5077,0.1133
pregsmk*pregsmk,,1,0.00267,0.000869,9.4122,0.0022
bthorder,,1,-0.4118,0.0923,19.8878,<.0001
age*r1stchildethn,2,1,-0.2833,0.2102,1.8168,0.1777
age*r1stchildethn,3,1,0.6201,0.3914,2.5105,0.1131
age*r1stfeduc,2,1,0.4198,0.3555,1.3947,0.2376
age*r1stfeduc,3,1,0.7895,0.3227,5.9844,0.0144
age*SESBTH,2,1,-0.3735,0.3648,1.0481,0.3059
age*SESBTH,3,1,-1.2251,0.3977,9.4873,0.0021
age*z1single0,1,1,-0.858,0.4346,3.8972,0.0484
age*pregsmk,,1,-0.0504,0.0145,12.0007,0.0005
SESBTH_eth,5,1,0.2727,0.6222,0.1921,0.6611
SESBTH_eth,8,1,1.2376,0.6189,3.9993,0.0455
SESBTH_eth,6,1,-12.8317,634.5,0.0004,0.9839
SESBTH_eth,9,1,-13.224,634.5,0.0004,0.9834
