"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.13154462213241
"r1stchildethn",2,0.267738245855441
"r1stchildethn",3,1.02019816863432
"r1stchildethn",4,-0.340409371111025
"z1breast",1,-0.168573086059312
"r1ParentEduc",2,8.88178419700125e-16
"r1ParentEduc",3,0.521217133491195
"SESBTH",2,-1.66533453693774e-15
"SESBTH",3,0.27549219561556
"z1pregsmk",1,0.178440055808767
"z1HighBw",1,0.406511294165104
"z1LowBw",1,0.208264305576419
"z1Caesarean",1,0.238023093264919
"r1Sleep",2,-0.0698991171520645
"r1Sleep",3,-0.440621959816777
"z1WatchTV",1,0.381917957140285
