Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,0.3888,0.1683,5.3387,0.0209
r1stchildethn,2,1,1.0365,0.2928,12.5276,0.0004
r1stchildethn,3,1,0.0611,0.434,0.0198,0.888
pregsmk,,1,-0.0506,0.0145,12.1182,0.0005
pregalc,,1,-0.1409,0.0348,16.3881,<.0001
