Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-26.7834,4.3287,38.2842,<.0001
age,,1,2.2505,0.4193,28.8045,<.0001
r1stchildethn,2,1,0.8913,0.3892,5.2452,0.022
r1stchildethn,3,1,0.4261,0.9172,0.2158,0.6423
fage,,1,0.5582,0.1001,31.0867,<.0001
ga,,1,0.2349,0.0758,9.61,0.0019
z1chpar,1,1,0.4896,0.7139,0.4704,0.4928
z1homeown_eth,2,1,1.5549,0.4461,12.1464,0.0005
z1homeown_eth,3,1,0.9935,0.8912,1.2428,0.2649
z1chpar_eth,2,1,-2.7467,0.8919,9.485,0.0021
z1chpar_eth,3,1,-0.5811,1.2949,0.2014,0.6536
