"Variable","ClassVal0","Estimate"
"Intercept",NA,-3.00365013755226
"r1stchildethn",2,0.268262236
"r1stchildethn",3,0.217109714
"r1stchildethn",4,0.050778292
"r1Region",2,0.022276395
"r1Region",3,0.035553027
"r1Region",4,0.189770956
"r1Region",5,0.189770956
"r1Region",6,0.204579797
"r1Region",7,0.063864488
"r1Region",8,-0.006074148
"r1Region",9,0.070037867
"r1Region",10,0.066433742
"r1Region",11,0.15540666
"r1Region",12,0.205693922
"r1Region",13,0.172630727
