Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-20.2586,10.0338,2301,-2.02,0.0436
age,,6.6987,2.6538,2301,2.52,0.0117
r1stchildethn,4,-3.5169,1.3407,2301,-2.62,0.0088
r1stchildethn,1,-3.5169,1.3407,2301,-2.62,0.0088
r1stchildethn,2,0.4251,1.3896,2301,0.31,0.7597
r1stchildethn,3,0,,,,
fsmoke_previous,,0.4075,0.09716,2301,4.19,<.0001
ga,,0.7108,0.254,2301,2.8,0.0052
pregsmk,,0.1146,0.1119,2301,1.02,0.306
bthorder,,0.1911,0.1217,2301,1.57,0.1165
welfare,1,6.7753,2.2751,2301,2.98,0.0029
age*fsmoke_previous,,-0.01863,0.01199,2301,-1.55,0.1203
age*ga,,-0.1512,0.06759,2301,-2.24,0.0253
age*pregsmk,,-0.02596,0.01491,2301,-1.74,0.0818
age*welfare,1,-1.4092,0.5504,2301,-2.56,0.0105
fsmoke_previous*r1stchildethn,4,0.1975,0.09195,2301,2.15,0.0318
fsmoke_previous*r1stchildethn,1,0.1975,0.09195,2301,2.15,0.0318
fsmoke_previous*r1stchildethn,2,0.09438,0.09282,2301,1.02,0.3094
fsmoke_previous*r1stchildethn,3,0,,,,
pregsmk*r1stchildethn,4,0.06718,0.1052,2301,0.64,0.5232
pregsmk*r1stchildethn,1,0.06718,0.1052,2301,0.64,0.5232
pregsmk*r1stchildethn,2,-0.116,0.1083,2301,-1.07,0.2841
pregsmk*r1stchildethn,3,0,,,,
_sd,,7.058739264,1.469,,,
