Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,10.3857,2.6692,15.1397,<.0001
age,,1,-1.3925,0.2556,29.687,<.0001
r1stchildethn,2,1,12.7232,2.8211,20.3405,<.0001
r1stchildethn,3,1,2.0966,3.4254,0.3746,0.5405
MAGE,,1,-0.6438,0.087,54.748,<.0001
MAGE*MAGE,,1,0.00647,0.0015,18.553,<.0001
r1stmeduc,2,1,0.4538,0.2557,3.1499,0.0759
r1stmeduc,3,1,0.7405,0.2514,8.6785,0.0032
ga,,1,-0.00026,0.0561,0,0.9964
pregalc,,1,0.00993,0.0229,0.1874,0.6651
bthorder,,1,0.1926,0.0653,8.6942,0.0032
householdsize,,1,-0.6592,0.1018,41.912,<.0001
mhrswrk,,1,0.00981,0.00465,4.455,0.0348
welfare,1,1,0.9075,0.1396,42.2757,<.0001
age*r1stchildethn,2,1,0.3568,0.1146,9.6903,0.0019
age*r1stchildethn,3,1,-0.3069,0.1567,3.8372,0.0501
age*MAGE,,1,0.0476,0.0103,21.3491,<.0001
ga*r1stchildethn,2,1,-0.3421,0.0694,24.2905,<.0001
ga*r1stchildethn,3,1,0.00306,0.0854,0.0013,0.9714
pregalc*r1stchildethn,2,1,0.0372,0.025,2.2063,0.1374
pregalc*r1stchildethn,3,1,-0.0205,0.0298,0.4727,0.4918
householdsize*r1stchildethn,2,1,0.0482,0.1231,0.1531,0.6956
householdsize*r1stchildethn,3,1,0.2921,0.1201,5.9193,0.015
