"Variable","ClassVal0","Estimate"
"Intercept",NA,-0.747547304321001
"r1stchildethn",2,0.288586676918246
"r1stchildethn",3,1.08908181602484
"r1stchildethn",4,-0.359085705472548
"z1breast",1,-0.179620521733021
"r1ParentEduc",2,1.11022302462516e-15
"r1ParentEduc",3,0.546480134575172
"SESBTH",2,-3.33066907387547e-16
"SESBTH",3,0.300405652437106
"z1pregsmk",1,0.197766556727046
"z1HighBw",1,0.439988017654919
"z1LowBw",1,0.200201934311004
"z1Caesarean",1,0.253448825705196
"r1Sleep",2,-0.102313833363924
"r1Sleep",3,-0.465648943239134
