Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-6.4103,2.1539,8.8572,0.0029
age,,1,0.6709,0.2923,5.2661,0.0217
age*age,,1,-0.0387,0.0155,6.2157,0.0127
bwkg,,1,-0.4648,0.1487,9.7743,0.0018
ga,,1,0.0911,0.0456,3.9841,0.0459
pregalc,,1,0.1591,0.0794,4.0186,0.045
pregalc*pregalc,,1,-0.0195,0.00864,5.0789,0.0242
welfare_previous,1,1,0.4802,0.1394,11.8603,0.0006
