Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,5.1873,0.8128,40.7273,<.0001
age,,1,-0.5555,0.1991,7.7855,0.0053
z1single0,1,1,8.5913,3.4697,6.1309,0.0133
pregsmk,,1,0.0625,0.0607,1.0599,0.3032
pregsmk*pregsmk,,1,-0.00443,0.0021,4.4736,0.0344
age*z1single0,1,1,-2.5174,0.7838,10.3151,0.0013
