"Variable","ClassVal0","Estimate"
"Intercept",NA,-0.899779620266944
"r1stchildethn",2,0.279951945364903
"r1stchildethn",3,1.06246907762857
"r1stchildethn",4,-0.351760472711999
"z1breast",1,-0.0884057766655397
"r1ParentEduc",2,-3.33066907387547e-16
"r1ParentEduc",3,0.537740347066674
"SESBTH",2,-3.33066907387547e-16
"SESBTH",3,0.289807404589468
"z1pregsmk",1,0.15697052157286
"z1HighBw",1,0.425992841790408
"z1LowBw",1,0.205695191054223
"z1Caesarean",1,0.126836550580244
"r1Sleep",2,-0.259212684584807
"r1Sleep",3,-0.181037046662177
"z1WatchTV",1,0.404658018696306
