Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-4.5309,1.0765,17.7157,<.0001
r1stchildethn,2,1,1.2097,0.5371,5.0739,0.0243
r1stchildethn,3,1,1.5313,0.97,2.4923,0.1144
MAGE,,1,0.0978,0.0147,43.962,<.0001
r1stfeduc,2,1,0.4092,0.2082,3.8632,0.0494
r1stfeduc,3,1,0.6373,0.1953,10.6462,0.0011
ga,,1,0.0869,0.0248,12.3095,0.0005
z1twin,1,1,-1.0085,0.3139,10.322,0.0013
bthorder,,1,0.2495,0.179,1.9435,0.1633
bthorder*bthorder,,1,-0.0816,0.0321,6.468,0.011
INTERACT,,1,-0.0628,0.0268,5.4977,0.019
PUNISH,,1,0.2682,0.121,4.91,0.0267
PUNISH*PUNISH,,1,-0.1212,0.034,12.6862,0.0004
MAGE*r1stchildethn,2,1,-0.0458,0.0232,3.9089,0.048
MAGE*r1stchildethn,3,1,-0.0828,0.037,5.0034,0.0253
