Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.2882,0.5265,5.9862,0.0144
age,,1,-0.0432,0.0429,1.0132,0.3141
r1stchildethn,2,1,-0.5972,0.6569,0.8265,0.3633
r1stchildethn,3,1,-0.8739,1.4255,0.3758,0.5399
SESBTH,2,1,-0.6791,0.3086,4.8422,0.0278
SESBTH,3,1,-1.3007,0.315,17.0553,<.0001
z1single0,1,1,1.9633,0.6358,9.5343,0.002
PUNISH,,1,0.2319,0.3509,0.4368,0.5087
PUNISH*PUNISH,,1,0.1735,0.0555,9.7687,0.0018
age*z1single0,1,1,-0.3091,0.0726,18.1118,<.0001
age*PUNISH,,1,-0.0745,0.03,6.1846,0.0129
SESBTH_eth,5,1,0.2408,0.6924,0.121,0.728
SESBTH_eth,8,1,1.4092,0.6992,4.0628,0.0438
SESBTH_eth,6,1,1.3221,1.5015,0.7753,0.3786
SESBTH_eth,9,1,1.5641,1.4698,1.1325,0.2872
PUNISH*r1stchildethn,2,1,-0.5866,0.1656,12.5441,0.0004
PUNISH*r1stchildethn,3,1,-0.1457,0.2761,0.2785,0.5977
