"Variable","ClassVal0","Estimate"
"Intercept",NA,-2.81844447220013
"r1stchildethn",2,-0.52
"r1stchildethn",3,-0.8
"r1stchildethn",4,0
"SESBTH",2,0.32
"SESBTH",3,0.63
"r1SchoolFunding",1,-0.64
"r1SchoolFunding",2,-0.9
