"Variable","ClassVal0","Estimate"
"Intercept",NA,-2.64604351844321
"z1gender",1,-0.6161861
"r1stchildethn",2,0.05826891
"r1stchildethn",3,-0.8209806
"r1stchildethn",4,-1.237874
"SESBTH",2,0
"SESBTH",3,0.9321641
"z1ParentDepress",1,0.9820785
"z1Bully",1,0.5538851
"z1INTERACT",1,-0.7520614
"z1PUNISH",1,0.4317824
"z1genderLvl0*z1Obese",1,0.542324291
"z1genderLvl1*z1Obese",1,0.270027137
