Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-11.1224,4.4313,6.2998,0.0121
age,,1,6.5076,2.3902,7.4125,0.0065
age*age,,1,-0.8622,0.3314,6.7708,0.0093
MAGE,,1,0.1888,0.0698,7.3179,0.0068
z1single0,1,1,9.3138,2.4942,13.9444,0.0002
bthorder,,1,-1.4401,0.3507,16.8599,<.0001
age*z1single0,1,1,-2.8788,0.6954,17.1381,<.0001
