"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.26128866321046
"r1stchildethn",2,0.256749937022175
"r1stchildethn",3,0.977579632180535
"r1stchildethn",4,-0.329052617547658
"z1breast",1,-0.162201783368221
"r1ParentEduc",2,1.33226762955019e-15
"r1ParentEduc",3,0.50191212283396
"SESBTH",2,1.77635683940025e-15
"SESBTH",3,0.263344408575696
"z1pregsmk",1,0.169763866536113
"z1HighBw",1,0.389374808746443
"z1LowBw",1,0.20502405636909
"z1Caesarean",1,0.167662203503709
"r1Sleep",2,-0.0572348669368231
"r1Sleep",3,-0.426234637458849
"z1WatchTV",1,0.365766016745746
