Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.0294,0.831,1.5345,0.2154
r1stchildethn,2,1,-1.8604,0.8109,5.2639,0.0218
r1stchildethn,3,1,-0.0396,0.4987,0.0063,0.9367
SESBTH,2,1,-2.3802,0.855,7.75,0.0054
SESBTH,3,1,-2.2015,0.8838,6.2044,0.0127
pregsmk,,1,0.0739,0.0236,9.7918,0.0018
pregalc,,1,-0.0298,0.0356,0.6993,0.403
pregalc*r1stchildethn,2,1,0.4274,0.1046,16.69,<.0001
pregalc*r1stchildethn,3,1,0.0539,0.049,1.2059,0.2721
