Variable,ClassVal0,Estimate
Intercept,,5.134578988
IQ_previous,,0.598373179
IQ_previous1,,-0.0314191
IQ_previous2,,0.330896983
IQ_previous3,,-0.230793285
IQ_previous4,,0.132875362
IQ_previous5,,-0.009352449
IQ_previous6,,0.153615221
IQ_previous7,,0.083623361
IQ_previous8,,-0.079165062
_sd,,6.797074
