Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,2.0179,0.8448,454,2.39,0.0173
z1gender,1,0.05597,0.05702,454,0.98,0.3268
r1stfeduc,1,0.006492,0.08951,454,0.07,0.9422
r1stfeduc,2,-0.2543,0.07004,454,-3.63,0.0003
r1stfeduc,3,0,,,,
ga,,0.01663,0.01786,454,0.93,0.3522
pregsmk,,-0.01301,0.003774,454,-3.45,0.0006
pregalc,,0.07137,0.02594,454,2.75,0.0062
pregalc*pregalc,,-0.00345,0.001586,454,-2.18,0.0301
z1twin,1,0.3642,0.1821,454,2,0.0462
bthorder,,0.04551,0.0192,454,2.37,0.0182
INTERACT,,0.2592,0.1096,454,2.37,0.0184
INTERACT*INTERACT,,-0.0235,0.007226,454,-3.25,0.0012
_Alpha,,0.3229,0.02466,,,
