"Variable","ClassVal0","Estimate"
"Intercept",NA,-1.15311112021367
"r1stchildethn",2,0.26391710191917
"r1stchildethn",3,1.0058768826713
"r1stchildethn",4,-0.336594801614192
"z1breast",1,-0.166405130706305
"r1ParentEduc",2,4.44089209850063e-16
"r1ParentEduc",3,0.515005423650004
"SESBTH",2,1.77635683940025e-15
"SESBTH",3,0.271184548358641
"z1pregsmk",1,0.175293365238837
"z1HighBw",1,0.400504898871055
"z1LowBw",1,0.207765614181738
"z1Caesarean",1,0.172600204692391
"r1Sleep",2,-0.0667566050917387
"r1Sleep",3,-0.436555331057407
"z1WatchTV",1,0.377536821624037
