Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,-3.2457,1.2278,6.9884,0.0082
age,,1,-0.1769,0.0653,7.3419,0.0067
r1stfeduc,2,1,2.9784,1.0445,8.1308,0.0044
r1stfeduc,3,1,2.2495,1.0254,4.8125,0.0283
pregsmk,,1,0.0702,0.0210,11.1457,0.0008
pregalc,,1,-0.3047,0.1293,5.5578,0.0184
kids,,1,-0.4319,0.1616,7.1453,0.0075
fhrswrk,,1,-0.0233,0.00884,6.9271,0.0085
mhrswrk,,1,0.1453,0.0369,15.4992,<.0001
mhrswrk*mhrswrk,,1,-0.00274,0.000868,9.9939,0.0016
PUNISH,,1,0.6626,0.1642,16.2896,<.0001
