Variable,ClassVal0,Estimate
Intercept,,NA
z1pregsmk,1,0.3852624
z1breast,1,-0.1625189
z1HighBw,1,0.5653138
z1LowBw,1,-0.5108256
z1gender,1,-0.033623577
r1stchildethn,2,0.150449409
r1stchildethn,3,0.338655666
r1stchildethn,4,-0.113114641
SESBTH,3,0.366031
