Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-17.7265,17.6955,208,-1,0.3176
r1stchildethn,4,2.0289,1.4608,208,1.39,0.1663
r1stchildethn,1,2.0289,1.4608,208,1.39,0.1663
r1stchildethn,2,-0.806,1.622,208,-0.5,0.6198
r1stchildethn,3,0,,,,
bwkg,,19.2695,10.4828,208,1.84,0.0675
fsmoke_previous,,0.4019,0.0542,208,7.41,<.0001
bwkg*bwkg,,-3.1061,1.5342,208,-2.02,0.0442
pregsmk,,-0.05993,0.175,208,-0.34,0.7324
pregsmk*pregsmk,,0.01459,0.006338,208,2.3,0.0223
welfare,1,3.3086,1.5602,208,2.12,0.0351
_sd,,6.679214026,4.3746,,,
