Variable,ClassVal0,Estimate
Intercept,NA,28.94582
z1gender,1,-3.15
r1stchildethn,2,0
r1stchildethn,3,-1.075
r1stchildethn,4,6.225
r1ParentEduc,2,0
r1ParentEduc,3,-4.652799
SESBTH,2,0
SESBTH,3,-4.187519
z1PrintExp,1,10.22593
z1ECE,1,2.124778
z1ADHD,1,-11.05835
z1ParentInvolve,1,5.428266
IQ,,0.57
_sd,,15.77382
