Variable,ClassVal0,Estimate
Intercept,,NA
z1gender,1,0.6
r1stchildethn,2,0.6205765
r1stchildethn,3,0.1739533
r1stchildethn,4,-1.660731
SESBTH,2,0
SESBTH,3,0.4317824
z1ParentAlc,1,0.4134333
z1ADHD,1,0.5538851
