Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.2527,0.4968,6.358,0.0117
age,,1,-0.1125,0.0444,6.4107,0.0113
fage,,1,0.2942,0.0668,19.4055,<.0001
BREAST,,1,0.0888,0.0327,7.364,0.0067
z1twin,1,1,-6.1717,2.1675,8.1078,0.0044
age*z1twin,1,1,0.5785,0.2333,6.1482,0.0132
