Variable,ClassVal0,DF,Estimate,StdErr,WaldChiSq,ProbChiSq
Intercept,,1,1.0739,0.7358,2.1306,0.1444
age,,1,-0.1828,0.0664,7.586,0.0059
z1gender,1,1,0.4667,0.1285,13.1903,0.0003
r1stchildethn,2,1,3.8447,1.0804,12.6631,0.0004
r1stchildethn,3,1,1.6585,1.4064,1.3907,0.2383
MAGE,,1,-0.0975,0.0141,48.0184,<.0001
SESBTH,2,1,0.1698,0.1748,0.9439,0.3313
SESBTH,3,1,0.7661,0.2115,13.1205,0.0003
bwkg,,1,0.6353,0.1467,18.7617,<.0001
pregsmk,,1,-0.0399,0.0294,1.8387,0.1751
z1single,1,1,-4.341,1.1511,14.2208,0.0002
kids,,1,0.3031,0.0639,22.5254,<.0001
fhrswrk,,1,0.0359,0.0116,9.5546,0.002
fhrswrk*fhrswrk,,1,-0.00048,0.000128,14.3553,0.0002
welfare,1,1,3.8428,1.4632,6.8978,0.0086
age*pregsmk,,1,0.0239,0.00821,8.455,0.0036
age*z1single,1,1,1.0069,0.3357,8.9976,0.0027
age*welfare,1,1,-1.051,0.3129,11.2829,0.0008
bwkg*r1stchildethn,2,1,-1.0435,0.3154,10.9493,0.0009
bwkg*r1stchildethn,3,1,-0.5746,0.3924,2.1441,0.1431
