"","Age","Mean Diff","Lower CI","Upper CI"
"",2,-0.487999999999999,-0.858551934342647,-0.117448065657351
"",3,-0.218,-0.935925363045062,0.499925363045063
"",4,-0.423999999999999,-1.07958643040871,0.231586430408712
"",5,-0.597999999999999,-1.10308620553373,-0.0929137944662684
"",6,-0.294000000000002,-0.865775109996165,0.277775109996161
"",7,-0.463999999999999,-0.990060885045064,0.0620608850450655
"",8,-0.329999999999998,-0.850857326063845,0.190857326063849
"",9,-0.448000000000002,-0.834691428806461,-0.0613085711935424
"",10,-0.768,-1.33758713549082,-0.198412864509183
"",11,-0.676000000000002,-1.36818712576058,0.0161871257605724
"",12,-0.777999999999998,-1.40672624791185,-0.149273752088143
"",13,-0.468000000000005,-1.02472275844683,0.0887227584468182
"",14,-1.042,-1.38327033990517,-0.700729660094824
"",15,-0.0959999999999997,-0.654787339545811,0.462787339545811
"",16,0.00599999999999943,-0.616864235873194,0.628864235873192
"",17,-0.112000000000005,-0.81435485348404,0.59035485348403
"",18,-0.172000000000002,-0.804485711875193,0.460485711875189
"",19,-0.291999999999996,-0.847293827934124,0.263293827934133
"",20,-0.513999999999999,-1.22833134443049,0.200331344430493
"",21,-4.7711203257721e-15,-0.43507520369733,0.43507520369732
