Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,2.3863,0.3609,1157,6.61,<.0001
msmoke,,0.02626,0.006874,1157,3.82,0.0001
z1chpar,1,0.9858,0.1841,1157,5.35,<.0001
bwkg,,-0.2962,0.1005,1157,-2.95,0.0033
r1stmeduc,1,-1.4512,0.1454,1157,-9.98,<.0001
r1stmeduc,2,-0.6474,0.1236,1157,-5.24,<.0001
r1stmeduc,3,0,,,,
