Variable,ClassVal0,Estimate
Intercept,NA,-7.536579004
z1gender,1,-0.315186848
r1stchildethn,2,-1.028994338
r1stchildethn,3,-0.103810481
r1stchildethn,4,1.202022778
r1ParentEduc,2,0.157132476
r1ParentEduc,3,-0.533815322
SESBTH,2,0.094778512
SESBTH,3,-0.495326017
z1PrintExp,1,1.600991233
z1ECE,1,0.135794679
z1ADHD,1,-1.377288844
z1ParentInvolve,1,0.530683011
IQ,,0.072466275
