Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-1.5386,0.3512,1105,-4.38,<.0001
z1gender,1,0.2967,0.1085,1105,2.73,0.0063
r1stchildethn,1,-0.4174,0.1823,1105,-2.29,0.0222
r1stchildethn,2,0.8508,0.349,1105,2.44,0.0149
r1stchildethn,3,0,,,,
MAGE,,-0.06291,0.01287,1105,-4.89,<.0001
fhrswrk,,-0.0118,0.003672,1105,-3.21,0.0014
bthorder,,0.1509,0.05944,1105,2.54,0.0112
z1chpar,1,0.4763,0.1769,1105,2.69,0.0072
BREAST,,-0.04725,0.01343,1105,-3.52,0.0005
