Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,9.3095,2.0555,1122,4.53,<.0001
msmoke,,-0.2514,0.01185,1122,-21.22,<.0001
fhrswrk,,-0.01414,0.00468,1122,-3.02,0.0026
z1homeown,1,-0.5072,0.1583,1122,-3.2,0.0014
bwkg,,0.3531,0.1636,1122,2.16,0.0312
r1stmeduc,1,0.7959,0.2612,1122,3.05,0.0024
r1stmeduc,2,0.4379,0.1812,1122,2.42,0.0158
r1stmeduc,3,0,,,,
ga,,-0.177,0.05556,1122,-3.19,0.0015
BREAST,,0.05177,0.02205,1122,2.35,0.0191
