Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-5.5954,0.5956,1061,-9.39,<.0001
MAGE,,0.0714,0.01559,1061,4.58,<.0001
r1stfeduc,1,1.9065,0.1897,1061,10.05,<.0001
r1stfeduc,2,0.7879,0.1451,1061,5.43,<.0001
r1stfeduc,3,0,,,,
bthorder,,-0.3306,0.07744,1061,-4.27,<.0001
BREAST,,0.1225,0.01558,1061,7.86,<.0001
pregsmk,,-0.04332,0.01105,1061,-3.92,<.0001
