Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-3.8234,0.2176,1069,-17.57,<.0001
mhrswrk,,-0.01486,0.007111,1069,-2.09,0.0369
r1stmeduc,1,-0.5741,0.1653,1069,-3.47,0.0005
r1stmeduc,2,-0.333,0.1403,1069,-2.37,0.0178
r1stmeduc,3,0,,,,
kids,,0.3843,0.05902,1069,6.51,<.0001
msmoke,,0.03403,0.007828,1069,4.35,<.0001
fsmoke,,0.01478,0.006818,1069,2.17,0.0304
