Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-1.7913,0.274,772,-6.54,<.0001
MAGE,,-0.03044,0.01118,772,-2.72,0.0066
chres,,0.5518,0.02603,772,21.2,<.0001
pregsmk,,0.01149,0.005042,772,2.28,0.023
_Alpha,,0.1217,0.03706,,,
