Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,44.1516,0.05469,2028,807.35,<.0001
age,,0.01797,0.006994,2028,2.57,0.0103
r1stfeduc,1,0.3673,0.06814,2028,5.39,<.0001
r1stfeduc,2,0.003619,0.05394,2028,0.07,0.9465
r1stfeduc,3,0,,,,
mhrswrk,,-0.00593,0.001942,2028,-3.05,0.0023
pregalc,,0.02009,0.00921,2028,2.18,0.0292
_sd,,1.07307968,0.03616,,,
