Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,46.3565,6.9766,709,6.64,<.0001
SESBTH,1,2.9512,0.8704,709,3.39,0.0007
SESBTH,2,-0.6338,0.5069,709,-1.25,0.2116
SESBTH,3,0,,,,
z1overcrowd,1,1.9226,0.6357,709,3.02,0.0026
z1chpar,1,2.564,0.8995,709,2.85,0.0045
msmoke,,0.06025,0.02254,709,2.67,0.0077
ga,,-0.466,0.1755,709,-2.66,0.0081
pregalc,,0.245,0.07963,709,3.08,0.0022
_sd,,6.357137721,2.1464,,,
