Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,16.7818,0.3372,1858,49.77,<.0001
MAGE,,0.06243,0.01378,1858,4.53,<.0001
SESBTH,1,0.03185,0.2185,1858,0.15,0.8841
SESBTH,2,-0.4563,0.1388,1858,-3.29,0.001
SESBTH,3,0,,,,
welfare,1,-0.5798,0.2034,1858,-2.85,0.0044
pregalc,,0.09717,0.02531,1858,3.84,0.0001
_sd,,2.64043557,0.2287,,,
