Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,7.7082,0.4707,1447,16.38,<.0001
r1stchildethn,1,0.7954,0.2333,1447,3.41,0.0007
r1stchildethn,2,1.2079,0.3852,1447,3.14,0.0017
r1stchildethn,3,0,,,,
MAGE,,-0.09493,0.01756,1447,-5.41,<.0001
r1stfeduc,1,0.8346,0.3367,1447,2.48,0.0133
r1stfeduc,2,-0.3074,0.1752,1447,-1.75,0.0796
r1stfeduc,3,0,,,,
welfare,1,0.75,0.2173,1447,3.45,0.0006
fsmoke,,0.03828,0.008775,1447,4.36,<.0001
BREAST,,-0.07578,0.02343,1447,-3.23,0.0012
pregsmk,,0.135,0.01287,1447,10.48,<.0001
pregalc,,-0.1037,0.02773,1447,-3.74,0.0002
_sd,,2.952405799,0.3241,,,
