Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,20.6374,0.2926,348,70.54,<.0001
bthorder,,0.3246,0.07774,348,4.18,<.0001
fage,,0.4468,0.08901,348,5.02,<.0001
r1stmeduc,1,0.6886,0.2138,348,3.22,0.0014
r1stmeduc,2,0.4941,0.1422,348,3.48,0.0006
r1stmeduc,3,0,,,,
z1homeown,1,-0.6536,0.1301,348,-5.02,<.0001
fsmoke,,-0.01544,0.006544,348,-2.36,0.0188
_sd,,1.196494881,0.1085,,,
