Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,4.1376,0.03695,114,111.98,<.0001
z1gender,1,0.1371,0.04497,114,3.05,0.0028
z1accom,1,-0.1756,0.07832,114,-2.24,0.0269
z1overcrowd,1,0.244,0.06484,114,3.76,0.0003
_sd,,0.227178344,0.006836,,,
