Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,-1.2464,0.289,55,-4.31,<.0001
bthorder,,0.06249,0.02404,55,2.6,0.012
z1homeown,1,0.1535,0.04861,55,3.16,0.0026
ga,,0.08783,0.007779,55,11.29,<.0001
_sd,,0.180637759,0.006223,,,
