Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,9.3627,1.802,28,5.2,<.0001
r1stfeduc,1,-10.8078,2.0298,28,-5.32,<.0001
r1stfeduc,2,-7.7116,1.6023,28,-4.81,<.0001
r1stfeduc,3,0,,,,
fhrswrk,,0.2094,0.0387,28,5.41,<.0001
pregsmk,,0.1591,0.06015,28,2.64,0.0132
_sd,,3.655584769,3.5715,,,
