Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,23.1353,0.5511,672,41.98,<.0001
z1gender,1,1.6726,0.4799,672,3.49,0.0005
r1stmeduc,1,1.2819,1.2666,672,1.01,0.3119
r1stmeduc,2,2.0876,0.6518,672,3.2,0.0014
r1stmeduc,3,0,,,,
z1single0,1,2.922,0.638,672,4.58,<.0001
welfare,1,1.7941,0.512,672,3.5,0.0005
z1accom,1,1.7505,0.638,672,2.74,0.0062
pregsmk,,0.1317,0.02155,672,6.11,<.0001
_sd,,6.1906704,2.0908,,,
