Variable,ClassVal0,Estimate,StdErr,DF,tValue,Probt
Intercept,,1.985,0.2142,185,9.27,<.0001
ga,,0.02016,0.005457,185,3.69,0.0003
BREAST,,0.007528,0.002199,185,3.42,0.0008
_sd,,0.120871833,0.001519,,,
